Game Date,Teams,Event Index,Quarter,Start Time,Duration,,,
01.02.2016,HOU.at.SAS,3,1,10:48.5,0.9,,,
01.02.2016,HOU.at.SAS,3,1,10:39.7,0.5,,,
01.02.2016,HOU.at.SAS,21,1,09:00.3,1.8,,,
01.02.2016,HOU.at.SAS,23,1,08:15.4,0.6,,,
01.02.2016,HOU.at.SAS,30,1,07:32.8,1,,,
01.02.2016,HOU.at.SAS,40,1,06:06.2,1.1,,,
01.02.2016,HOU.at.SAS,57,1,04:36.4,1,,,
01.02.2016,HOU.at.SAS,64,1,04:28.5,0.6,,,
01.02.2016,HOU.at.SAS,326,4,11:15.4,0.8,,,
01.02.2016,HOU.at.SAS,330,4,11:01.0,0.9,,,
01.02.2016,HOU.at.SAS,351,4,08:27.4,0.7,,,
01.02.2016,HOU.at.SAS,351,4,08:18.0,0.7,,,
01.02.2016,HOU.at.SAS,356,4,07:41.9,0.6,,,
01.02.2016,HOU.at.SAS,370,4,07:05.5,2.5,,,
01.02.2016,HOU.at.SAS,370,4,06:57.1,0.5,,,
01.02.2016,HOU.at.SAS,373,4,06:54.7,0.5,,,
01.02.2016,HOU.at.SAS,373,4,06:50.7,1.6,,,
01.02.2016,HOU.at.SAS,384,4,05:39.9,1.1,,,
01.02.2016,HOU.at.SAS,396,4,04:37.4,0.8,,,
01.02.2016,HOU.at.SAS,400,4,04:29.4,1.5,,,
01.02.2016,HOU.at.SAS,405,4,03:57.0,0.5,,,
01.02.2016,HOU.at.SAS,405,4,03:56.8,0.9,,,
01.02.2016,HOU.at.SAS,405,4,03:54.5,0.6,,,
01.02.2016,HOU.at.SAS,415,4,02:16.3,0.7,,,
01.02.2016,HOU.at.SAS,415,4,02:15.0,0.8,,,
01.02.2016,HOU.at.SAS,421,4,01:40.4,0.8,,,
01.02.2016,HOU.at.SAS,435,4,01:17.8,2.8,,,
01.02.2016,HOU.at.SAS,436,4,01:01.5,1.9,,,
01.02.2016,HOU.at.SAS,441,4,00:36.2,1.3,,,
01.02.2016,HOU.at.SAS,441,4,00:34.1,3.2,,,
01.02.2016,HOU.at.SAS,444,4,00:35.4,0.6,,,
01.02.2016,HOU.at.SAS,446,4,00:09.8,0.7,,,
01.02.2016,HOU.at.SAS,446,4,00:07.6,0.5,,,
01.02.2016,HOU.at.SAS,447,4,00:06.8,0.8,,,
01.04.2016,CHA.at.GSW,110,2,11:32.1,0.8,,,
01.04.2016,CHA.at.GSW,111,2,11:18.6,0.9,,,
01.04.2016,CHA.at.GSW,111,2,11:10.8,0.9,,,
01.04.2016,CHA.at.GSW,112,2,10:51.9,1,,,
01.04.2016,CHA.at.GSW,113,2,10:36.1,0.6,,,
01.04.2016,CHA.at.GSW,113,2,10:28.1,0.9,,,
01.04.2016,CHA.at.GSW,114,2,10:17.5,0.8,,,
01.04.2016,CHA.at.GSW,115,2,09:53.5,0.8,,,
01.04.2016,CHA.at.GSW,118,2,09:43.3,0.8,,,
01.04.2016,CHA.at.GSW,119,2,09:23.3,0.6,,,
01.04.2016,CHA.at.GSW,129,2,08:23.2,1.2,,,
01.04.2016,CHA.at.GSW,130,2,08:14.7,0.6,,,
01.04.2016,CHA.at.GSW,130,2,08:01.0,1.6,,,
01.04.2016,CHA.at.GSW,132,2,07:47.4,1.4,,,
01.04.2016,CHA.at.GSW,136,2,07:38.0,0.6,,,
01.04.2016,CHA.at.GSW,137,2,07:14.0,0.8,,,
01.04.2016,CHA.at.GSW,141,2,06:43.2,1.6,,,
01.04.2016,CHA.at.GSW,141,2,06:41.0,0.6,,,
01.04.2016,CHA.at.GSW,143,2,06:19.1,0.6,,,
01.04.2016,CHA.at.GSW,143,2,06:13.0,0.7,,,
01.04.2016,CHA.at.GSW,143,2,06:09.6,1.1,,,
01.04.2016,CHA.at.GSW,145,2,05:57.3,0.8,,,
01.04.2016,CHA.at.GSW,145,2,05:54.9,0.8,,,
01.04.2016,CHA.at.GSW,145,2,05:47.8,1.9,,,
01.04.2016,CHA.at.GSW,147,2,05:47.7,1.8,,,
01.04.2016,CHA.at.GSW,155,2,05:07.1,0.8,,,
01.04.2016,CHA.at.GSW,155,2,05:05.4,0.7,,,
01.04.2016,CHA.at.GSW,155,2,05:04.3,1.2,,,
01.04.2016,CHA.at.GSW,157,2,04:45.7,0.5,,,
01.04.2016,CHA.at.GSW,157,2,04:44.5,1.1,,,
01.04.2016,CHA.at.GSW,162,2,04:15.0,0.5,,,
01.04.2016,CHA.at.GSW,162,2,04:12.3,1.4,,,
01.04.2016,CHA.at.GSW,163,2,04:00.1,2.1,,,
01.04.2016,CHA.at.GSW,166,2,03:25.7,0.8,,,
01.04.2016,CHA.at.GSW,170,2,03:01.6,1,,,
01.04.2016,CHA.at.GSW,170,2,02:54.7,0.9,,,
01.04.2016,CHA.at.GSW,172,2,02:45.5,0.9,,,
01.04.2016,CHA.at.GSW,172,2,02:39.8,0.6,,,
01.04.2016,CHA.at.GSW,175,2,02:04.0,2,,,
01.04.2016,CHA.at.GSW,183,2,01:42.8,0.7,,,
01.04.2016,CHA.at.GSW,184,2,01:29.5,1.7,,,
01.04.2016,CHA.at.GSW,187,2,01:15.6,0.8,,,
01.04.2016,CHA.at.GSW,187,2,01:13.9,0.6,,,
01.04.2016,CHA.at.GSW,190,2,00:49.3,2.1,,,
01.04.2016,CHA.at.GSW,190,2,00:46.6,0.7,,,
01.04.2016,CHA.at.GSW,195,2,00:16.6,0.5,,,
01.04.2016,CHA.at.GSW,200,3,11:52.6,1.2,,,
01.04.2016,CHA.at.GSW,203,3,11:27.7,0.9,,,
01.04.2016,CHA.at.GSW,203,3,11:26.3,0.6,,,
01.04.2016,CHA.at.GSW,204,3,11:06.5,1,,,
01.04.2016,CHA.at.GSW,205,3,11:06.3,0.8,,,
01.04.2016,CHA.at.GSW,206,3,10:45.3,1,,,
01.04.2016,CHA.at.GSW,208,3,10:32.7,0.9,,,
01.04.2016,CHA.at.GSW,208,3,10:30.3,0.8,,,
01.04.2016,CHA.at.GSW,210,3,10:25.7,2,,,
01.04.2016,CHA.at.GSW,210,3,10:20.7,0.6,,,
01.04.2016,CHA.at.GSW,214,3,10:10.6,1.7,,,
01.04.2016,CHA.at.GSW,215,3,10:04.0,0.6,,,
01.04.2016,CHA.at.GSW,217,3,10:04.0,0.6,,,
01.04.2016,CHA.at.GSW,217,3,09:57.5,0.6,,,
01.04.2016,CHA.at.GSW,217,3,09:53.9,1.2,,,
01.04.2016,CHA.at.GSW,222,3,09:43.7,0.8,,,
01.04.2016,CHA.at.GSW,222,3,09:42.6,1.9,,,
01.04.2016,CHA.at.GSW,222,3,09:39.3,0.5,,,
01.04.2016,CHA.at.GSW,222,3,09:29.3,1.3,,,
01.04.2016,CHA.at.GSW,222,3,09:23.7,1.4,,,
01.04.2016,CHA.at.GSW,225,3,09:07.4,0.6,,,
01.04.2016,CHA.at.GSW,225,3,09:06.0,0.7,,,
01.04.2016,CHA.at.GSW,226,3,09:05.9,0.6,,,
01.04.2016,CHA.at.GSW,226,3,09:01.1,1.6,,,
01.04.2016,CHA.at.GSW,226,3,08:44.6,0.7,,,
01.04.2016,CHA.at.GSW,226,3,08:38.1,0.7,,,
01.04.2016,CHA.at.GSW,229,3,08:23.7,2.6,,,
01.04.2016,CHA.at.GSW,230,3,07:55.7,0.7,,,
01.04.2016,CHA.at.GSW,230,3,07:54.9,0.9,,,
01.04.2016,CHA.at.GSW,234,3,07:48.1,1.1,,,
01.04.2016,CHA.at.GSW,234,3,07:46.6,1.8,,,
01.04.2016,CHA.at.GSW,234,3,07:38.9,0.6,,,
01.04.2016,CHA.at.GSW,234,3,07:38.1,1.2,,,
01.04.2016,CHA.at.GSW,236,3,07:30.3,0.8,,,
01.04.2016,CHA.at.GSW,237,3,07:20.9,1.1,,,
01.04.2016,CHA.at.GSW,239,3,07:18.1,0.7,,,
01.04.2016,CHA.at.GSW,240,3,06:54.5,0.6,,,
01.04.2016,CHA.at.GSW,242,3,06:37.4,0.8,,,
01.04.2016,CHA.at.GSW,242,3,06:35.6,0.6,,,
01.04.2016,CHA.at.GSW,247,3,06:18.6,0.6,,,
01.04.2016,CHA.at.GSW,248,3,06:15.9,0.7,,,
01.04.2016,CHA.at.GSW,248,3,06:14.7,0.7,,,
01.04.2016,CHA.at.GSW,248,3,06:07.9,1,,,
01.04.2016,CHA.at.GSW,249,3,06:04.1,0.7,,,
01.04.2016,CHA.at.GSW,251,3,05:44.5,1.2,,,
01.04.2016,CHA.at.GSW,252,3,05:29.9,1,,,
01.04.2016,CHA.at.GSW,252,3,05:19.0,0.5,,,
01.04.2016,CHA.at.GSW,253,3,05:17.4,0.9,,,
01.04.2016,CHA.at.GSW,253,3,05:05.7,0.6,,,
01.04.2016,CHA.at.GSW,255,3,04:47.9,1,,,
01.04.2016,CHA.at.GSW,259,3,04:29.6,1.5,,,
01.04.2016,CHA.at.GSW,263,3,04:28.9,0.8,,,
01.04.2016,CHA.at.GSW,266,3,04:01.9,0.7,,,
01.04.2016,CHA.at.GSW,268,3,03:50.3,0.6,,,
01.04.2016,CHA.at.GSW,269,3,03:32.2,0.6,,,
01.04.2016,CHA.at.GSW,269,3,03:29.7,0.5,,,
01.04.2016,CHA.at.GSW,270,3,03:29.1,2.8,,,
